position_group,name,slot_cost,effect,why_it_costs_that,tags,synergy
QB,Born With Quick Feet,1,AGI and COD cost 15% less during creation and future Player-XP upgrades.,Useful but not a premier QB rating pair.,athletic,
QB,Naturally Fast,3,SPD and ACC cost 12% less during creation and future upgrades.,Speed/acceleration are extremely valuable and expensive.,athletic,
QB,Explosive First Step,1,ACC costs 18% less during creation and future upgrades.,Narrow one-attribute discount.,athletic,
QB,Natural Athlete,2,"AGI, COD, JMP and ACC each cost 8% less.",Broad multi-rating discount.,athletic,
QB,Born With an Arm,2,THP costs 15% less.,Throw power is a premium QB attribute.,passing,
QB,Natural Accuracy,2,SAC and MAC cost 10% less; DAC costs 6% less.,Touches three core passing ratings.,passing,
QB,Pocket Sense,1,BSK costs 15% less and TUP costs 8% less.,Improves pocket survival without raw speed.,passing,
QB,Off-Platform Thrower,1,TOR costs 15% less and TUP 8% less.,Specialized improvisational value.,passing,
QB,Play-Action Savant,1,PAC costs 18% less.,One situational but useful rating.,passing,
QB,Deep Ball Artist,2,DAC costs 12% less and THP 6% less.,Cascades with Born With an Arm for vertical QBs; discount cap still applies.,passing,Born With an Arm
QB,Rhythm Passer,1,SAC and MAC each cost 8% less.,Smaller accuracy discount than Natural Accuracy.,passing,
QB,Pressure Proof,2,TUP costs 18% less. Gold weekly challenges completed with 0 turnovers grant +1 bonus XP.,Premium due to attribute + XP component.,mental,
QB,Escape Artist,2,"BSK, COD and ACC each cost 10% less.",Broad mobility/survival package.,athletic,
QB,Designed Runner,1,"CAR, JKM and BCV each cost 10% less.",Only valuable for run-heavy QBs.,runner,
QB,Ball Security,1,CAR costs 18% less.,Narrow protection against fumbles.,runner,
QB,Clutch Processor,2,AWR upgrades cost 10% less; playoff weekly challenge XP +20%.,Mental + postseason benefit.,mental,
QB,Command at the Line,1,"If the player earns 120+ IQ, his first AWR upgrade each season costs 25% less XP.",Conditional IQ synergy keeps it from being universally optimal.,mental,
QB,Two-Minute Specialist,1,"Weekly challenges involving completion percentage, zero turnovers, or passing TDs pay +1 XP when completed in a win, max +1/week.",Performance conditional.,xp,
QB,Faster Developer,3,Earn +15% Player XP from all eligible sources. Dev-trait promotion challenge checks occur 50% more often until the player reaches X-Factor. Does not guarantee promotion; the challenge still must be completed.,"Directly accelerates both ratings growth and access to development promotions, so it consumes half the build.",progression,
QB,Team Player,2,Team XP functionality is unlocked from Season 1. The player may convert his earned Player XP to Team XP at the normal 4:3 rate even before reaching his personal ceiling. XP already spent on teammates cannot be reclaimed.,Creates roster-wide value years earlier than normal.,team,
QB,Great Negotiator,2,All REC Coin contract offers are increased by 20% after the normal contract-value calculation. Applies to Contracts II and III; Rookie Contract remains draft-slot based unless league configuration enables rookie negotiation bonuses.,Meaningful recurring economy bonus.,contract,
QB,Known Commodity,3,"For Contracts II and III, the player's performance component can never produce an offer below the 'Elite' salary band. The contract engine values him as an established ceiling-level asset even after a poor contract window.",Removes most downside risk from the career economy.,contract,
QB,Competitive Drive,1,"Completing all three issued weekly challenges grants +2 bonus Player XP, once per league week.",Requires performance rather than granting passive ratings.,xp,
QB,Film Junkie,2,Future AWR upgrades cost 20% less Player XP. Defensive players also receive 20% cheaper PRC upgrades. Does not change IQ-test results.,Permanent discount on highly valuable mental attributes.,mental,
QB,Generational Ceiling,3,Starting development trait is Star rather than Normal. The player is eligible for future Superstar/X-Factor promotion challenges through performance. No direct ratings are added.,A major career-long ceiling advantage.,dev,
HB,Born With Quick Feet,1,AGI and COD cost 15% less during creation and future upgrades.,Core movement pair.,athletic,
HB,Naturally Fast,3,SPD and ACC cost 12% less.,Premium ball-carrier athleticism.,athletic,
HB,Explosive First Step,1,ACC costs 18% less.,Single premium movement rating.,athletic,
HB,Natural Athlete,2,"AGI, COD, JMP and ACC each cost 8% less.",Broad athletic discount.,athletic,
HB,Natural Vision,1,BCV costs 18% less and COD 6% less.,Core runner-processing package.,runner,
HB,Contact Balance,1,BTK costs 15% less and CAR 8% less.,Useful across back types.,runner,
HB,Power Runner,1,TRK costs 15% less and SFA 12% less.,Focused power identity.,runner,
HB,Make-You-Miss,1,JKM and SPM cost 12% less; COD 6% less.,Focused elusive package.,runner,
HB,Natural Hands,1,CTH costs 15% less and CIT 8% less.,Receiving utility.,receiving,
HB,Receiving Back,2,"CTH, SRR and MRR each cost 10% less.",Three meaningful receiving ratings.,receiving,
HB,Workhorse,1,STA costs 15% less and CAR 10% less. Seasonal rushing-volume milestones pay +1 XP.,Volume-focused.,durability,
HB,Built Strong,1,STR costs 18% less and TRK 6% less.,Narrow physical discount.,athletic,
HB,Home-Run Gear,2,"SPD 8%, ACC 8%, JKM 6% cheaper. Gold 150+ rushing-yard challenge pays +1 bonus XP.",Attribute + milestone boost.,athletic,
HB,Short-Yardage Specialist,1,"TRK, SFA and CAR each cost 8% less.",Useful but situational.,runner,
HB,Open-Field Artist,2,"COD, JKM, SPM and BTK each cost 8% less.",Broad creation package.,runner,
HB,Three-Down Back,2,"BCV, CTH, CAR and SRR each cost 8% less.",Broad all-purpose profile.,runner,
HB,Goal-Line Nose,1,"TD-based weekly/seasonal milestones pay +10% XP, rounded normally.",No attribute bonus.,xp,
HB,Big-Game Back,1,Playoff rushing/receiving milestone XP +20%.,Situational.,xp,
HB,Faster Developer,3,Earn +15% Player XP from all eligible sources. Dev-trait promotion challenge checks occur 50% more often until the player reaches X-Factor. Does not guarantee promotion; the challenge still must be completed.,"Directly accelerates both ratings growth and access to development promotions, so it consumes half the build.",progression,
HB,Team Player,2,Team XP functionality is unlocked from Season 1. The player may convert his earned Player XP to Team XP at the normal 4:3 rate even before reaching his personal ceiling. XP already spent on teammates cannot be reclaimed.,Creates roster-wide value years earlier than normal.,team,
HB,Great Negotiator,2,All REC Coin contract offers are increased by 20% after the normal contract-value calculation. Applies to Contracts II and III; Rookie Contract remains draft-slot based unless league configuration enables rookie negotiation bonuses.,Meaningful recurring economy bonus.,contract,
HB,Known Commodity,3,"For Contracts II and III, the player's performance component can never produce an offer below the 'Elite' salary band. The contract engine values him as an established ceiling-level asset even after a poor contract window.",Removes most downside risk from the career economy.,contract,
HB,Competitive Drive,1,"Completing all three issued weekly challenges grants +2 bonus Player XP, once per league week.",Requires performance rather than granting passive ratings.,xp,
HB,Film Junkie,2,Future AWR upgrades cost 20% less Player XP. Defensive players also receive 20% cheaper PRC upgrades. Does not change IQ-test results.,Permanent discount on highly valuable mental attributes.,mental,
HB,Generational Ceiling,3,Starting development trait is Star rather than Normal. The player is eligible for future Superstar/X-Factor promotion challenges through performance. No direct ratings are added.,A major career-long ceiling advantage.,dev,
WR_TE,Born With Quick Feet,1,AGI and COD cost 15% less.,Core separation/YAC movement.,athletic,
WR_TE,Naturally Fast,3,SPD and ACC cost 12% less.,Premium receiving athleticism.,athletic,
